pref,city,genre_name,count,ratio,user_num
宮城県,名取市,観光タクシー,62,0.00018641850955394861,332585
宮城県,名取市,神経内科,76,0.00022851301171129186,332585
宮城県,名取市,幼稚園,1757,0.0052828600207465758,332585
宮城県,名取市,メイクアップサービス,123,0.00036983026895380126,332585
宮城県,名取市,ビヤホール,43,0.00012929025662612565,332585
宮城県,名取市,洋裁店,3,9.020250462287837e-06,332585
宮城県,名取市,通信販売,154,0.0004630395237307756,332585
宮城県,名取市,車検代行,86,0.00025858051325225131,332585
宮城県,名取市,携帯電話,920,0.0027662101417682697,332585
宮城県,名取市,非鉄金属地金販売,3,9.020250462287837e-06,332585
宮城県,名取市,串揚げ・串かつ料理店,28,8.4189004314686469e-05,332585
宮城県,名取市,商品検査,46,0.00013831050708841349,332585
宮城県,名取市,四川料理店,5,1.5033750770479727e-05,332585
宮城県,名取市,ＣＤ・ＤＶＤ・ビデオ販売,137,0.00041192477111114454,332585
宮城県,名取市,司法書士事務所,1610,0.0048408677480944722,332585
宮城県,名取市,警察,743,0.0022340153644932873,332585
宮城県,名取市,情報セキュリティ,4,1.2027000616383782e-05,332585
宮城県,名取市,せんべい屋,28,8.4189004314686469e-05,332585
宮城県,名取市,タクシー,1385,0.004164348963422884,332585
宮城県,名取市,商社,1159,0.0034848234285972009,332585
宮城県,名取市,もつ鍋店,7,2.1047251078671617e-05,332585
宮城県,名取市,写真館,603,0.001813070342919855,332585
宮城県,名取市,リハビリテーション科,140,0.00042094502157343237,332585
宮城県,名取市,信用金庫,398,0.0011966865613301863,332585
宮城県,名取市,テコンドー道場,10,3.0067501540959454e-05,332585
宮城県,名取市,貸店舗・事務所,433,0.0013019228167235443,332585
宮城県,名取市,貸衣裳,73,0.00021949276124900402,332585
宮城県,名取市,学生向けマンション・アパート賃貸,121,0.00036381676864560939,332585
宮城県,名取市,チケット類売買,189,0.00056827577912413373,332585
宮城県,名取市,アレルギー科,180,0.00054121502773727022,332585
宮城県,名取市,ドーナツショップ,11,3.30742516950554e-05,332585
宮城県,名取市,化粧品販売,1304,0.0039208022009411128,332585
宮城県,名取市,カラオケボックス,471,0.0014161793225791902,332585
宮城県,名取市,レッカー車,99,0.00029766826525549862,332585
宮城県,名取市,ガラス食器店,7,2.1047251078671617e-05,332585
宮城県,名取市,青果物店,2733,0.008217448171144219,332585
宮城県,名取市,紅茶専門店,11,3.30742516950554e-05,332585
宮城県,名取市,スイミングスクール,191,0.00057428927943232555,332585
宮城県,名取市,テレビコマーシャル制作,71,0.00021347926094081212,332585
宮城県,名取市,小児歯科,1560,0.0046905302403896752,332585
宮城県,名取市,ふぐ料理店,22,6.61485033901108e-05,332585
宮城県,名取市,ねじ販売,592,0.0017799960912247997,332585
宮城県,名取市,フェリー・客船,3,9.020250462287837e-06,332585
宮城県,名取市,アニメーション制作,16,4.8108002465535128e-05,332585
宮城県,名取市,ごみ処分,315,0.00094712629854022277,332585
宮城県,名取市,編物教室,7,2.1047251078671617e-05,332585
宮城県,名取市,子供服店,600,0.0018040500924575672,332585
宮城県,名取市,紙製品販売,153,0.00046003277357667963,332585
宮城県,名取市,ゴルフショップ,133,0.00039989777049476074,332585
宮城県,名取市,農業用機器販売,4,1.2027000616383782e-05,332585
宮城県,名取市,ボクシングジム,468,0.0014071590721169024,332585
宮城県,名取市,割ぽう旅館,10,3.0067501540959454e-05,332585
宮城県,名取市,建物売買,2,6.013500308191891e-06,332585
宮城県,名取市,ペットホテル,442,0.0013289835681104078,332585
宮城県,名取市,医院・診療所,2020,0.00607363531127381,332585
宮城県,名取市,酒屋,1471,0.0044229294766751359,332585
宮城県,名取市,かばん店,375,0.0011275313077859796,332585
宮城県,名取市,駐輪場,96,0.00028864801479321078,332585
宮城県,名取市,高等専門学校,360,0.0010824300554745404,332585
宮城県,名取市,アクセサリーショップ,338,0.0010162815520844296,332585
宮城県,名取市,卸売市場,49,0.00014733075755070133,332585
宮城県,名取市,スカーフ販売,8,2.4054001232767564e-05,332585
宮城県,名取市,パソコンショップ,28,8.4189004314686469e-05,332585
宮城県,名取市,園芸サービス,1102,0.003313438669813732,332585
宮城県,名取市,市区町村機関,5383,0.016185336079498475,332585
宮城県,名取市,外国公館,15,4.5101252311439178e-05,332585
宮城県,名取市,環境省,34,0.00010222950523926214,332585
宮城県,名取市,専修学校,380,0.0011425650585564593,332585
宮城県,名取市,歯科用機器製造,52,0.00015635100801298917,332585
宮城県,名取市,駐車場,345,0.0010373288031631013,332585
宮城県,名取市,自動車修理,366,0.0011004705563991161,332585
宮城県,名取市,海運代理店,1,3.0067501540959455e-06,332585
宮城県,名取市,輸入雑貨ショップ,68,0.00020445901047852429,332585
宮城県,名取市,ハンバーガーショップ,1,3.0067501540959455e-06,332585
宮城県,名取市,不動産鑑定,72,0.00021648601109490806,332585
宮城県,名取市,レンタル店,952,0.00286242614669934,332585
宮城県,名取市,形成外科,27,8.1182254160590519e-05,332585
宮城県,名取市,スポーツ教室,246,0.00073966053790760252,332585
宮城県,名取市,ギター教室,11,3.30742516950554e-05,332585
宮城県,名取市,歯科医師会,3,9.020250462287837e-06,332585
宮城県,名取市,米穀類販売,52,0.00015635100801298917,332585
宮城県,名取市,代理商・仲立,7,2.1047251078671617e-05,332585
宮城県,名取市,ビューティーアドバイザー,634,0.0019062795976968294,332585
宮城県,名取市,法律事務所,569,0.001710840837680593,332585
宮城県,名取市,台湾料理店,16,4.8108002465535128e-05,332585
宮城県,名取市,銘木販売,5,1.5033750770479727e-05,332585
宮城県,名取市,ボート・ヨット・マリーナ,37,0.00011124975570154998,332585
宮城県,名取市,ドラッグストア・薬店,2520,0.0075770103883217822,332585
宮城県,名取市,教養・技能教室,138,0.00041493152126524045,332585
宮城県,名取市,再生資源処理,400,0.0012027000616383781,332585
宮城県,名取市,寮・下宿,42,0.00012628350647202972,332585
宮城県,名取市,内閣,13,3.9087752003247291e-05,332585
宮城県,名取市,乗馬クラブ,4,1.2027000616383782e-05,332585
宮城県,名取市,卓球場,5,1.5033750770479727e-05,332585
宮城県,名取市,剣道場,4,1.2027000616383782e-05,332585
宮城県,名取市,,791,0.0023783393718898927,332585
宮城県,名取市,うなぎ料理店,77,0.0002315197618653878,332585
宮城県,名取市,質屋,88,0.00026459401356044318,332585
宮城県,名取市,ホルモン料理店,312,0.00093810604807793494,332585
宮城県,名取市,リサイクルショップ,1151,0.0034607694273644332,332585
宮城県,名取市,囲碁・将棋所,10,3.0067501540959454e-05,332585
宮城県,名取市,ライブハウス,105,0.00031570876618007424,332585
宮城県,名取市,陶磁器店,108,0.00032472901664236208,332585
宮城県,名取市,ケータリングサービス,97,0.00029165476494730669,332585
宮城県,名取市,自動販売機サービス,80,0.00024054001232767563,332585
宮城県,名取市,ディスプレイ,59,0.00017739825909166078,332585
宮城県,名取市,朝鮮料理店,1,3.0067501540959455e-06,332585
宮城県,名取市,フラワーデザイン教室,47,0.00014131725724250943,332585
宮城県,名取市,マンション・アパート賃貸,1452,0.0043658012237473131,332585
宮城県,名取市,自動車洗車,30,9.0202504622878356e-05,332585
宮城県,名取市,ジンギスカン料理店,20,6.0135003081918909e-05,332585
宮城県,名取市,プレイガイド,4,1.2027000616383782e-05,332585
宮城県,名取市,漆器店,10,3.0067501540959454e-05,332585
宮城県,名取市,ビデオ制作,49,0.00014733075755070133,332585
宮城県,名取市,劇場,16,4.8108002465535128e-05,332585
宮城県,名取市,パチンコ店,2190,0.00658478283747012,332585
宮城県,名取市,サッカー・フットサルクラブ,3,9.020250462287837e-06,332585
宮城県,名取市,立食うどん店,5,1.5033750770479727e-05,332585
宮城県,名取市,糸販売,14,4.2094502157343235e-05,332585
宮城県,名取市,パン屋,1248,0.0037524241923117397,332585
宮城県,名取市,小料理店,95,0.00028564126463911482,332585
宮城県,名取市,インテリア店,1585,0.0047656989942420737,332585
宮城県,名取市,整形外科,488,0.0014672940751988214,332585
宮城県,名取市,デイケア,10,3.0067501540959454e-05,332585
宮城県,名取市,ペット美容室,355,0.0010673963047040606,332585
宮城県,名取市,体操教室,14,4.2094502157343235e-05,332585
宮城県,名取市,銭湯,83,0.00024956026278996347,332585
宮城県,名取市,自動車整備機工具販売,57,0.00017138475878346888,332585
宮城県,名取市,薬局,7533,0.022649848910804758,332585
宮城県,名取市,クレジットカード,49,0.00014733075755070133,332585
宮城県,名取市,洋品店,417,0.0012538148142580091,332585
宮城県,名取市,仏教教会,4,1.2027000616383782e-05,332585
宮城県,名取市,裁判所,17,5.1114752619631072e-05,332585
宮城県,名取市,こん包,83,0.00024956026278996347,332585
宮城県,名取市,神道教会,22,6.61485033901108e-05,332585
宮城県,名取市,映画館,54,0.00016236450832118104,332585
宮城県,名取市,サウナぶろ,124,0.00037283701910789723,332585
宮城県,名取市,写真撮影,62,0.00018641850955394861,332585
宮城県,名取市,技術サービス,29,8.719575446878242e-05,332585
宮城県,名取市,受託開発ソフトウエア,5,1.5033750770479727e-05,332585
宮城県,名取市,郵便局,1860,0.0055925552866184581,332585
宮城県,名取市,労働団体,1092,0.0032833711682727722,332585
宮城県,名取市,政治団体,139,0.00041793827141933641,332585
